statenum,casenum,vnumber,pnumber,atmcond,acctime,dayofweek,holiday,numfatal,speeding,age,alcres,drugres3,sex,vfatcount,commlic,dricondatcrashtime,malcohol,dridistract,drivisobs
27,378,1,1,10,2125,5,10,1,1,999,996,0,9,0,99,99,0,99,99
12,2706,1,1,1,1925,5,10,1,1,89,995,0,1,1,0,0,0,0,0
12,2798,1,2,1,2030,5,10,1,0,88,996,0,2,0,0,0,0,0,0
12,2706,1,2,1,1925,5,10,1,1,86,996,0,2,1,0,0,0,0,0
39,1011,2,1,10,1823,5,10,1,0,84,0,0,1,1,0,0,0,0,0
39,1011,2,3,10,1823,5,10,1,0,83,0,0,2,1,0,0,0,0,0
39,1011,2,2,10,1823,5,10,1,0,80,996,0,2,1,0,0,0,0,0
6,2910,1,2,1,1857,5,10,1,1,77,996,0,1,1,0,0,0,0,0
6,2910,1,1,1,1857,5,10,1,1,75,996,0,2,1,0,0,0,0,0
47,904,1,1,1,1837,5,10,1,0,75,996,0,1,0,0,0,0,0,0
48,3132,1,1,1,2226,5,10,1,0,74,85,0,1,0,0,9,1,0,0
22,703,2,1,1,1950,5,10,1,0,71,0,0,1,0,0,0,0,0,0
24,452,1,1,1,1831,5,10,1,0,71,120,0,1,1,0,9,1,99,0
40,584,2,1,1,2326,5,10,1,0,69,996,0,1,1,0,99,0,0,0
12,2798,1,1,1,2030,5,10,1,0,68,995,0,1,0,0,0,0,0,0
12,2630,2,2,10,1900,5,10,1,0,67,996,0,2,0,0,0,0,0,0
5,484,1,1,1,1900,5,10,1,0,66,161,0,1,1,0,9,1,99,0
13,1329,1,1,1,2301,5,10,1,0,66,0,0,1,1,0,99,0,0,0
35,267,1,1,1,1858,5,10,1,0,65,996,0,1,0,0,0,0,0,0
48,3130,1,1,1,2159,5,10,1,1,64,181,0,1,1,0,9,1,0,0
12,2707,1,2,1,1955,5,10,1,1,61,996,0,2,0,0,9,1,99,0
48,3132,2,1,1,2226,5,10,1,0,60,996,0,1,1,0,0,0,0,0
12,2707,1,1,1,1955,5,10,1,1,59,87,0,1,0,0,9,1,99,0
21,679,1,1,1,2159,5,10,2,1,58,209,0,1,0,8,9,1,0,0
39,1011,1,1,10,1823,5,10,1,0,58,0,0,1,0,0,0,0,0,0
8,507,1,1,1,2021,5,10,1,0,57,0,0,1,0,0,0,0,0,0
18,793,1,1,1,2245,5,10,1,0,56,997,0,1,1,0,9,1,0,0
17,949,1,1,1,2336,5,10,1,0,55,260,0,1,1,0,9,1,0,0
47,897,2,1,1,2125,5,10,1,0,54,0,0,1,0,0,0,0,0,0
40,573,1,1,10,2147,5,10,1,0,53,996,0,1,0,6,0,0,0,0
5,483,1,1,1,2318,5,10,1,0,52,0,0,1,1,0,99,0,19,0
6,2913,1,1,1,1900,5,10,5,1,51,996,0,2,1,0,0,0,0,0
18,793,1,2,1,2245,5,10,1,0,51,996,0,2,1,0,9,1,0,0
40,573,1,2,10,2147,5,10,1,0,50,996,0,2,0,6,0,0,0,0
47,897,2,2,1,2125,5,10,1,0,48,996,0,2,0,0,0,0,0,0
47,897,1,1,1,2125,5,10,1,0,46,250,0,1,1,0,9,1,99,0
22,703,1,1,1,1950,5,10,1,0,45,168,0,2,1,0,9,1,99,99
28,574,1,1,10,1818,5,10,1,1,45,130,0,1,1,0,99,1,96,0
36,1003,1,1,1,2245,5,10,1,0,44,995,0,2,0,0,0,0,0,0
12,2616,1,1,10,1809,5,10,1,0,43,995,0,1,0,6,0,0,0,0
12,2616,1,2,10,1809,5,10,1,0,43,996,0,1,0,6,0,0,0,0
12,2630,2,1,10,1900,5,10,1,0,42,0,0,2,0,0,0,0,0,0
6,2913,2,2,1,1900,5,10,5,1,37,996,0,2,4,0,0,0,0,0
